record_num,TP,FP,FN,DER
100,2269,1,4,0.22
101,1845,32,20,2.79
102,2183,0,4,0.18
103,2078,0,6,0.29
104,2224,19,5,1.08
105,2559,1977,13,77.37
106,1630,0,397,19.59
107,2133,6289,4,294.48
108,1478,114,285,22.63
109,2517,1,15,0.63
111,1982,2,142,6.78
112,2535,2321,4,91.57
113,1792,34,3,2.06
114,311,1,1568,83.5
115,1950,0,3,0.15
116,2407,2808,5,116.63
117,1530,1543,5,100.85
118,2274,7,4,0.48
119,1984,6,3,0.45
121,1860,6864,3,368.6
122,2471,1,5,0.24
123,1515,0,3,0.2
124,1617,16,2,1.11
200,2118,2,483,18.65
201,1933,7,30,1.88
202,2118,0,18,0.84
203,992,13,1988,67.15
205,2644,1,12,0.49
207,1701,116,159,14.78
208,2911,5,44,1.66
209,3000,3,5,0.27
210,1745,7,905,34.42
212,2744,85,4,3.24
213,3235,0,16,0.49
214,1595,0,667,29.49
215,2108,1,1255,37.35
217,2174,1,34,1.59
219,2149,0,5,0.23
220,2044,0,4,0.2
221,2393,0,34,1.4
222,1948,5,535,21.75
223,2600,1,5,0.23
228,368,31,1685,83.58
230,2252,1,4,0.22
231,1568,0,3,0.19
232,1777,5,3,0.45
233,2362,0,717,23.29
234,2741,0,12,0.44
